Coin,Price,Time
BTC/USDT,54078.9,2021-11-28 19:00:53.933405+00:00
ETH/USDT,4046.67,2021-11-28 19:00:55.409467+00:00
ADA/USDT,1.458225,2021-11-28 19:00:56.664231+00:00
CRO/USDT,0.7004,2021-11-28 19:00:57.883303+00:00
SOL/USDT,185.601,2021-11-28 19:00:59.123990+00:00
UNI/USDT,18.9834,2021-11-28 19:01:00.370990+00:00
ZEC/USDT,222.8,2021-11-28 19:01:02.073216+00:00
XMR/USDT,230.77,2021-11-28 19:01:03.741177+00:00
FIL/USDT,54.0917,2021-11-28 19:01:05.361126+00:00
BTC/USDT,58636.7,2021-11-29 19:01:12.171648+00:00
ETH/USDT,4432.25,2021-11-29 19:01:14.934098+00:00
ADA/USDT,1.617482,2021-11-29 19:01:16.831258+00:00
CRO/USDT,0.7322,2021-11-29 19:01:19.819518+00:00
SOL/USDT,209.617,2021-11-29 19:01:21.622461+00:00
UNI/USDT,20.3028,2021-11-29 19:01:23.031220+00:00
ZEC/USDT,254.109,2021-11-29 19:01:24.431618+00:00
XMR/USDT,237.39,2021-11-29 19:01:25.940767+00:00
FIL/USDT,56.0047,2021-11-29 19:01:27.799524+00:00
BTC/USDT,58183.3,2021-11-30 19:00:54.776087+00:00
ETH/USDT,4680.19,2021-11-30 19:00:56.512296+00:00
ADA/USDT,1.589866,2021-11-30 19:00:58.036589+00:00
CRO/USDT,0.6999,2021-11-30 19:00:59.491203+00:00
SOL/USDT,215.534,2021-11-30 19:01:00.717617+00:00
UNI/USDT,20.9515,2021-11-30 19:01:03.931828+00:00
ZEC/USDT,226.232,2021-11-30 19:01:06.452075+00:00
XMR/USDT,249.65,2021-11-30 19:01:07.944324+00:00
FIL/USDT,54.2349,2021-11-30 19:01:09.976001+00:00
BTC/USDT,57509.3,2021-12-01 19:01:06.956283+00:00
ETH/USDT,4653.64,2021-12-01 19:01:08.513414+00:00
ADA/USDT,1.580435,2021-12-01 19:01:10.857704+00:00
CRO/USDT,0.7294,2021-12-01 19:01:14.331895+00:00
SOL/USDT,225.297,2021-12-01 19:01:16.135931+00:00
UNI/USDT,21.3627,2021-12-01 19:01:19.850259+00:00
ZEC/USDT,228.891,2021-12-01 19:01:22.296029+00:00
XMR/USDT,234.42,2021-12-01 19:01:24.628201+00:00
FIL/USDT,54.7053,2021-12-01 19:01:26.424103+00:00
BTC/USDT,56630.6,2021-12-02 19:00:56.307508+00:00
ETH/USDT,4476.09,2021-12-02 19:00:57.970235+00:00
ADA/USDT,1.75026,2021-12-02 19:00:59.703189+00:00
CRO/USDT,0.69,2021-12-02 19:01:00.994489+00:00
SOL/USDT,233.066,2021-12-02 19:01:02.223429+00:00
UNI/USDT,22.3672,2021-12-02 19:01:04.245878+00:00
ZEC/USDT,223.748,2021-12-02 19:01:06.233924+00:00
XMR/USDT,241.06,2021-12-02 19:01:07.777858+00:00
FIL/USDT,53.9033,2021-12-02 19:01:09.785661+00:00
BTC/USDT,54897.4,2021-12-03 19:00:54.890536+00:00
ETH/USDT,4324.13,2021-12-03 19:00:56.769070+00:00
ADA/USDT,1.598279,2021-12-03 19:00:58.242363+00:00
CRO/USDT,0.637,2021-12-03 19:00:59.542671+00:00
SOL/USDT,217.736,2021-12-03 19:01:00.833733+00:00
UNI/USDT,20.7023,2021-12-03 19:01:02.246646+00:00
ZEC/USDT,220.208,2021-12-03 19:01:03.811679+00:00
XMR/USDT,229.09,2021-12-03 19:01:05.618452+00:00
FIL/USDT,50.3952,2021-12-03 19:01:06.906754+00:00
BTC/USDT,48801.5,2021-12-04 19:00:51.665619+00:00
ETH/USDT,4058.65,2021-12-04 19:00:53.197020+00:00
ADA/USDT,1.426237,2021-12-04 19:00:54.420525+00:00
CRO/USDT,0.6041,2021-12-04 19:00:55.631472+00:00
SOL/USDT,205.998,2021-12-04 19:00:56.853772+00:00
UNI/USDT,17.1114,2021-12-04 19:00:58.335152+00:00
ZEC/USDT,174.639,2021-12-04 19:00:59.658620+00:00
XMR/USDT,198.88,2021-12-04 19:01:01.716987+00:00
FIL/USDT,40.566,2021-12-04 19:01:03.381065+00:00
BTC/USDT,49110.2,2021-12-05 19:00:53.031923+00:00
ETH/USDT,4148.55,2021-12-05 19:00:54.453223+00:00
ADA/USDT,1.330599,2021-12-05 19:00:55.767787+00:00
CRO/USDT,0.5673,2021-12-05 19:00:57.087695+00:00
SOL/USDT,190.6,2021-12-05 19:00:58.334913+00:00
UNI/USDT,16.4369,2021-12-05 19:00:59.543157+00:00
ZEC/USDT,176.225,2021-12-05 19:01:01.762772+00:00
XMR/USDT,199.68,2021-12-05 19:01:04.836236+00:00
FIL/USDT,38.5165,2021-12-05 19:01:06.192681+00:00
BTC/USDT,49256.9,2021-12-06 19:00:54.731220+00:00
ETH/USDT,4188.36,2021-12-06 19:00:56.883742+00:00
ADA/USDT,1.344863,2021-12-06 19:00:58.539283+00:00
